Organization Name,City,State,Zipcode,Address,Organization Website,Number,Average Amount
Midlands Housing Trust Fund,Columbia,SC,29201,"1201 Main, Ste. 1480  Attn: Jeff Larimore",http://www.midlandshousing.org,6,129666.6667
"Maryland Capital Enterprises, Inc.",Salisbury,MD,21804--523,314 Civic Avenue,www.marylandcapital.org,6,154216.6667
Micro Enterprise Services of Oregon,Portland,OR,97212--111,4008 NE MLK Jr. Blvd,http://mesopdx.org,6,129000
Santa Fe Community Housing Trust,Santa Fe,NM,87592,PO Box 29237,www.housingtrustonline.org,6,173376.6667
"Montana Homeownership Network, Inc. The",Great Falls,MT,59401--360,17 5th Street South,http://www.nwmt.org,5,191122.8
"3CORE, Inc.",Chico,CA,95973,2515 Ceanothus Ave Ste 105,http://www.3coreeedc.org,5,87520
"Neighborhood Housing Services of Duluth, Inc.",Duluth,MN,55805--187,12 East 4th St.,www.1roofhousing.org,5,356240
"Greenwood Archer Capital, Inc.",Chicago,IL,60628--461,1000 E. 111th Street  10th Floor,https://greenwoodarchercapital.org/,5,116480
NDC Community Impact Loan Fund,Boston,MA,02284--532,PO Box 845322,www.growamerica.org,5,1587250
"The Working World, Inc. dba Seed Commons",New York,NY,10003,"228 Park Avenue S, Suite 65768",Non given,5,436862.4
"Wisconsin Native Loan Fund, Inc.",Lac du Flambeau,WI,54538--058,P.O. Box 580,www.winlf.org,5,234657
"Valley Economic Development Partners, Inc.",Youngstown,OH,44505--100,4319 Belmont Ave.,www.valleyedp.com,5,226460
"Neighborhood Impact Investment Fund, Inc.",Baltimore,MD,21211,"PO Box 354
711 West 40th Street, Suite 153",https://www.baltimoreniif.org,5,794300
South Eastern Development Foundation,Sioux Falls,SD,57104--201,500 N Western Avenue  Suite 100,http://www.secog.org,5,186270.6
"Edge Fund, LLC",Indianapolis,IN,46202--181,1704 Bellefontaine St,https://myedgefund.org/,5,90000
Midwest Minnesota Community Development Corporation,Detroit Lakes,MN,56501--303,"119 Graystone Plaza, Suite 100",www.mmcdc.com,5,146980
"Worcester Community Housing Resources, Inc.",Worcester,MA,01609--322,"11 Pleasant Street, Suite 300",http://www.wchr.org,5,224440
"NewWest Community Capital, Inc.",Boise,ID,83702,"950 W. Bannock Street, Suite 1100",www.newwestcapital.org,5,1131500
"Albany Community Together, Inc.",Albany,GA,31701--281,230 South Jackson Street  Suite 333,www.albanycommunitytogether.com,4,100000
Wind River Development Fund,Fort Washakie,WY,82514--066,P.O. Box 661,http://www.wrdf.org,4,209974.75
"Frontier Housing, Inc.",Morehead,KY,40351--913,5445 Flemingsburg Road,http://www.FrontierKY.org,4,142159.25
Corporation for Supportive Housing,New York,NY,10006--270,"61 Broadway, 23rd Floor",www.csh.org,4,1695985
Network for Oregon Affordable Housing,Portland,OR,97201--516,"1750 S. Harbor Way, Suite 245",http://noah-housing.org,4,2017336
Eastern Maine Development Corporation,Bangor,ME,04401--510,40 Harlow Street,http://www.emdc.org,4,171875
Portland Housing Center,Portland,OR,97232--255,3233 NE Sandy Blvd,www.portlandhousingcenter.org,3,86100
"TruFund Financial Services, Inc.",New York,NY,10018--232,"39 West 37th Street, 7th Floor",http://www.trufund.org,3,500000
Mercy Community Capital,DENVER,CO,80202--492,1600 Broadway SUITE 2000,www.mercycommunitycapital.org,3,1495000
Landmarks Community Capital Corporation,Pittsburgh,PA,15219--118,"100 W. Station Square Drive, Ste. 400",http://www.landmarkscommunitycapital.org,3,390000
White Earth Investment Initiative,Ogema,MN,56569--003,407 Main St. E.  P.O. Box 38,www.weii.website,3,340000
"Western Reserve Community Fund, Inc",Akron,OH,44308,"c/o Development Finance Authority of Summit County
One Cascade Plaza, Suite 1700",Non given,3,118863.3333
