Organization Name,City,State,Zipcode,Address,Organization Website,Number,Average Amount
Nonprofit Finance Fund,New York,NY,10004--265,"5 Hanover Square, 9th FL",www.nff.org,1,936000
"Disability Fund, Inc., The",Rockville Centre,NY,11570--491,"265 Sunrise Highway
Suite 45",http://www.thedof.org,1,158000
Rising Tide Community Loan Fund,Bethlehem,PA,18015--210,1337 E 5th St.,www.therisingtide.org,1,490000
California Community Reinvestment Corp.,Glendale,CA,91210,100 West Broadway  Suite 1000,http://e-ccrc.org,1,1377000
Community Assets for People,Stevens Point,WI,54481,"2900 Hoover Road
Suite A",www.capservices.org,1,110000
"MHIC, LLC",Boston,MA,02110--350,"21 Custom House Street,
8th Floor",www.mhic.com,1,250000
"Gateway Community Development Fund, Inc.",St. Louis,MO,63102,707 N. 2nd Street  Suite 308,http://www.gatewaycdfi.com,1,128000
Community LendingWorks,Springfield,OR,97477--537,212 Main Street,http://www.communitylendingworks.org/,1,1155000
"FIVE RIVERS LOAN FUND, INC",Happy Camp,CA,96039--000,"PO BOX 805	",5rlf.org,1,118800
Ripple Effect Entrepreneurs Fund,Lakewood,NJ,8701,"1750 Cedarbridge Avenue
Suite 3",www.njreef.org,1,400000
Community First Lending,Richmond,CA,94801--152,1535 Fred Jackson Way Suite A,Not Available,1,184000
Community Development Resources,Lincoln,NE,68505,912 N. 70th St.,www.cdr-nebraska.org,1,170000
Quaboag Valley Business Assistance Corporation,Ware,MA,01082--135,"23 West Main Street, Suite #1",http://www.qvcdc.org,1,78000
"Carolina Community Impact, Inc.",Raleigh,NC,27622,P.O. Box 30662,Non given,1,172000
North Philadelphia Financial Partnership,Philadelphia,PA,19132--276,"1300 W. Lehigh Avenue, Suite 100",www.npfp.org,1,80000
Womens Economic Ventures,Santa Barbara,CA,93101--720,"21 E. Canon Perdido, Suite 301",http://www.wevonline.org,1,100000
"Metro Community Development, Inc.",Flint,MI,48503,1174 Robert T. Longway Blvd.,http://www.metrocommunitydevelopment.com,1,350000
Catalyst Development Corporation,Savannah,GA,31401--550,"701 Martin Luther King, Jr. Blvd.",www.catalyst4people.org,1,200000
ECDC Enterprise Development Group,Arlington,VA,22204--240,901 S. Highland Street,https://www.edgus.org/,1,70000
Hope Enterprise Corporation,Jackson,MS,39202--343,4 Old River Place  Suite A,https://www.hopecu.org,1,162250
ADIRONDACK ECONMIC DEVELOPMENT CORPORATION,SARANAC LAKE,NY,12983--574,67 MAIN STREET SUITE 300,http://www.aedconline.com,1,150000
"Salt Lake Neighborhood Housing Services, Inc.",Salt Lake,UT,84116,622 West 500 North,www.nwsaltlake.org,1,290000
"Neighborhood Lending Partners of Florida, Inc.",Tampa,FL,33607--250,3615 West Spruce Street,www.nlp-inc.com,1,775000
"Neighborhood Housing Services of Toledo, Inc.",Toledo,OH,43605--211,P. O. Box 8125,http://nwtoledo.org,1,72570
Piedmont Housing Alliance,Charlottesville,VA,22901,682 Berkmar Circle,www.piedmonthousingalliance.org,1,243750
Impact Capital,Seattle,WA,98104,701 Fifth Ave Suite 5500,www.impactcapital.org,1,1000000
