Organization Name,Number,City,State,Zipcode,Address,Organization Website,
"Salt Lake Neighborhood Housing Services, Inc.",40,Salt Lake,UT,84116,622 West 500 North,www.nwsaltlake.org,
PIDC Community Capital,40,Philadelphia,PA,19102--211,1500 Market Street  Suite 3500 West,http://www.PIDCphila.com,
"Alaska Growth Capital BIDCO, Inc.",40,Anchorage,AK,99503,"3800 Centerpoint Drive, Suite 1100",http://www.alaskagrowth.com,
Valley Small Business Development Corporation,38,Fresno,CA,93711--076,7035 N. Fruit Avenue,http://VSBDC.com,
Rockford Community Investment Fund,38,Rockford,IL,61101,"120 W. State St., 306",Non given,
"Grow America Fund, Inc.",37,Boston,MA,02284--533,PO Box 845339,www.growamerica.org,
Housing Trust Silicon Valley,37,San Jose,CA,95113--183,"75 E Santa Clara Street, Suite 1350",http://www.housingtrustsv.org,
"Reinvestment Fund, Inc., The",37,Philadelphia,PA,19103--390,1700 Market Street  19th Floor,http://www.reinvestment.com,
Tulsa Economic Development Corporation,37,Tulsa,OK,74103--342,"125 W 3rd St, 2nd Fl",www.TEDCnet.com,
"Neighborhood Housing Services of Toledo, Inc.",36,Toledo,OH,43605--211,P. O. Box 8125,http://nwtoledo.org,
"Partner Community Capital, Inc.",35,Charles Town,WV,25414,P.O. Box 839,www.partnercapital.org,
"Access to Capital for Entrepreneurs, Inc.",35,Cleveland,GA,30528--838,3173 Highway 129 North,http://www.aceloans.org,
"Brightbridge, Inc.",35,Chattanooga,TN,37402,506 Broad Street,Non given,
Santa Fe Community Housing Trust,33,Santa Fe,NM,87592,PO Box 29237,www.housingtrustonline.org,
Southern Bancorp Capital Partners,32,Little Rock,AR,72211--350,"400 Hardin Road, Suite 100",www.southernpartners.org,
Ventura County Community Development Corporation,31,OXNARD,CA,93030,2231 Sturgis Road  Suite A,http://www.vccdc.org,
National Asian American Coalition,30,Daly City,CA,94015--141,"318 Westlake Center, Suite 270",http://www.naac.org,
"Cincinnati Development Fund, Inc.",28,Cincinnati,OH,45202--710,1224 Race Street,http://www.cincinnatidevelopmentfund.org,
"Impact Loan Fund, Inc.",28,Philadelphia,PA,19134--312,1952 East Allegheny Avenue,www.impactloanfund.org,
Detroit Development Fund,28,Detroit,MI,48202,"3031 W. Grand Blvd, Suite 505",www.detroitdevelopmentfund.com,
Housing Assistance Council,27,Washington,DC,20036,"1828 L Street NW, Suite 505",www.ruralhome.org,
Providence Revolving Fund,27,Providence,RI,02903--351,372 West Fountain Street,http://www.revolvingfund.org,
Nebraska Enterprise Fund,27,Oakland,NE,68045--113,330 N. Oakland Ave.,www.nebbiz.org,
Finance Fund Capital Corporation,26,Columbus,OH,43215,"366 East Broad Street, Suite 101",www.financefund.org,
"Neighborhood Housing Services of Duluth, Inc.",25,Duluth,MN,55805--187,12 East 4th St.,www.1roofhousing.org,
Portland Housing Center,25,Portland,OR,97232--255,3233 NE Sandy Blvd,www.portlandhousingcenter.org,
Hartford Community Loan Fund,25,Hartford,CT,06105,215 Garden St.,HartfordLoans.org,
"Forward Community Investments, Inc.",24,Madison,WI,53713,"2352 S Park Street
Suite 326",www.forwardci.org,
Rockingham Economic Development Corp,23,Raymond,NH,03077--232,57 Main Street,http://www.redc.com,
"Cook Inlet Lending Center, Inc.",22,Anchorage,AK,99503--377,"3600 Spenard Rd, Ste 100",www.cookinletlending.com,
"Baltimore Community Lending, Inc.",22,Baltimore,MD,21201,"875 Hollins Street, Suite 301",www.bclending.org,
"Pocatello Neighborhood Housing Services, Inc.",22,Pocatello,ID,83204--114,P.O. Box 1146,http://www.nwpocatello.org,
California Community Reinvestment Corp.,22,Glendale,CA,91210,100 West Broadway  Suite 1000,http://e-ccrc.org,
Justine Petersen Housing & Reinvestment Corporation,21,St. Louis,MO,63106,1023 North Grand Blvd,www.justinepetersen.org,
Northland Foundation,21,Duluth,MN,55802--194,"202 West Superior Street, Suite 800",http://www.northlandfdn.org,
Community Preservation Corporation,21,New York,NY,10017,"220 E 42nd Street, 16th Floor",www.communityp.com,
"Montana Homeownership Network, Inc. The",21,Great Falls,MT,59401--360,17 5th Street South,http://www.nwmt.org,
Genesis LA Economic Growth Corporation,21,Los Angeles,CA,90017--461,"801 S. Grand Avenue, Suite 850",http://www.genesisla.org,
Midwest Minnesota Community Development Corporation,20,Detroit Lakes,MN,56501--303,"119 Graystone Plaza, Suite 100",www.mmcdc.com,
"Solitas House, Inc.",20,Tampa,FL,33680,PO Box 310257,www.solitashouse.com,
BlueHub Loan Fund Inc,20,Boston,MA,02119--177,10 Malcolm X Boulevard,www.bluehubcapital.org,
"LiftFund, Inc.",20,San Antonio,TX,78210,2014 S. Hackberry St,www.liftfund.com,
South Carolina Community Loan Fund,19,Charleston,SC,29407--574,1051-A Gardner Road,http://www.sccommunityloanfund.org,
Tennessee Rural Development Fund LLC,19,Cookeville,TN,38501,"1227 N Washington Ave., Ste 107",www.tnrdf.com,
California Coastal Rural Development Corporation,19,Salinas,CA,93901--047,221 Main Street  Suite 301,http://www.calcoastal.org,
Wisconsin Women's Business Initiative Corporation,19,Milwaukee,WI,53212--391,1533 N RiverCenter Drive,www.wwbic.com,
"Enterprise Community Loan Fund, Inc.",19,Columbia,MD,21044--349,"70 Corporate Center  11000 Broken Land Parkway, Suite 700",http://www.enterprisecommunity.org,
"Common Capital, Inc.",18,Springfield,MA,01103,1780 Main Street,www.commoncapitalma.org,
Low Income Investment Fund,18,San Francisco,CA,94105,"49 Stevenson Street, Suite 300",http://www.liifund.org,
"Maryland Capital Enterprises, Inc.",18,Salisbury,MD,21804--523,314 Civic Avenue,www.marylandcapital.org,
Dakota Business Lending,17,Fargo,ND,58104,5630 36th Ave. S,www.dakotabusinesslending.com,
"Native360 Loan Fund, Inc.",16,GRAND ISLAND,NE,68802,PO Box 5683,https://native360.org/,
"NeighborGood Partners, Inc.",16,Dover,DE,19904--272,363 Saulsbury Rd,http://www.neighborgoodpartners.org,
Arcata Economic Development Corporation,16,Eureka,CA,95501,707 K Street,http://www.aedc1.org,
"Institute Capital, Inc.",15,Durham,NC,27701,114 West Parrish  Street,www.theinstitutenc.org,
"Southeast Rural Community Assistance Project, Inc.",15,Roanoke,VA,24016--362,347 Campbell Avenue,http://www.sercap.org,
"Black Business Investment Fund, Inc.",15,Orlando,FL,32801--273,301 E. Pine Street  Suite 175,www.bbif.com,
Homeownership Lending LLC,15,New York,NY,10005--402,120 Wall street  20th Floor,https://www.homeownershiplending.org/loanprogram,
SNAP Financial Access,14,Spokane,WA,99224--520,3102 W. Whistalks Way,https://snapfinancialaccess.org/,
"Worcester Community Housing Resources, Inc.",14,Worcester,MA,01609--322,"11 Pleasant Street, Suite 300",http://www.wchr.org,
HHOC Mortgage,14,Honolulu,HI,96817--396,1259 Aala St #201,http://www.hhocmortgage.org,
"First American Capital Corporation, Inc.",14,Hale Corners,WI,53130--203,10710 West Scharles Avenue,www.aiccw-facc.org,
African Development Center,13,Minneapolis,MN,55454--125,1931 South 5th Street,http://www.adcminnesota.org,
Prosperus Detroit Micro Lending,13,Detroit,MI,48202,"440 Burroughs Street, Suite 360",www.prosperusdetroit.org,
Ventana Fund,13,Albuquerque,NM,87125,P.O. Box 25483,www.ventanafund.org,
Latino Economic Development Center,12,Saint Paul,MN,55106,804 Margaret Street,http://www.ledcmn.org,
Haa Yakaawu Financial Corporation,12,Juneau,AK,99801,5446 Jenkins Drive,Non given,
"PathStone Enterprise Center, Inc.",12,Rochester,NY,14607--191,400 East Avenue,http://www.pseci.org,
