Organization Name,Number,City,State,Zipcode,Address,Organization Website,
Economic Development and Financing Corporation,2,Ukiah,CA,95482--484,208 B South Oak St.,http://www.edfc.org,
Hawaii Habitat for Humanity Association,1,Honolulu,HI,96822,"C/O LCH
1730 Punahou Street",http://hawaiihabitat.org/,
Hawaii Community Reinvestment Corporation,1,"HONOLULU	",HI,96801,"P.O. Box 3409	",http://www.hcrchawaii.com,
"Virginia Community Development Fund, Inc., The",1,Richmond,VA,23220--215,1840 West Broad Street  Suite 200,http://www.vacdc.org,
Homes Are Possible Inc.,1,Aberdeen,SD,57401,125 South 2nd Street,homesarepossible.org,
Vital Healthcare Capital,1,New York,NY,10004--278,"85 Broad Street, 18th Floor",www.VitalCap.org,
Initiative Foundation,1,Little Falls,MN,56345--300,405 First Street SE,http://www.ifound.org,
Greater Rochester Housing Partnership,1,Rochester,NY,14614,"16 East Main Street, suite 610",grhp.org,
"BAC Funding Consortium, Inc.",1,Miami,FL,33147--722,6600 NW 27th Avenue,www.bacfunding.com,
Community Development Capital,1,New Orleans,LA,70115--241,"3436 Magazine Street, Suite 601",www.cdcapital.org,
Cumberland Capital Partners,1,Nashville,TN,37211,2015 Gladstone Avenue,cumberlandcapitalpartners.org,
CORE Community Partners,1,Bingham Farms,MI,48025,32500 Telegraph Road,corecommunitypartners.com,
Nonprofit Finance Fund,1,New York,NY,10004--265,"5 Hanover Square, 9th FL",www.nff.org,
"CommunityWorks in West Virginia, Inc.",1,Charleston,WV,25302--471,4302 Crede Drive,http://www.communityworkswv.org,
First Children's Finance,1,"Minneapolis	",MN,55401,"212 Third Avenue North Suite 310	",http://www.firstchildrensfinance.org,
Community Neighborhood Housing Services,1,St Paul,MN,55103--191,533 Dale Street North,www.nwhomepartners.org,
Rising Tide Community Loan Fund,1,Bethlehem,PA,18015--210,1337 E 5th St.,www.therisingtide.org,
"Sacramento Neighborhood Housing Services, Inc.",1,Sacramento,CA,95817--310,"2411 Alhambra Blvd, Ste. 200",http://www.nwsacramento.org,
Community Assets for People,1,Stevens Point,WI,54481,"2900 Hoover Road
Suite A",www.capservices.org,
"MHIC, LLC",1,Boston,MA,02110--350,"21 Custom House Street,
8th Floor",www.mhic.com,
Self-Help Ventures Fund,1,Durham,NC,27702--361,P.O. Box 3619,www.self-help.org,
Community and Shelter Assistance Corporation,1,Sherwood,OR,97140--993,20508 SW Roy Rogers Road  Suite 155,http://www.casaoforegon.org,
"Genesis Fund, Inc.",1,Brunswick,ME,04011--191,22 Lincoln Street,http://www.genesisfund.org,
"Native Partnership for Housing, Inc.",1,Gallup,NM,87301--581,1664 South Second Street,www.npfh.org,
"Disability Fund, Inc., The",1,Rockville Centre,NY,11570--491,"265 Sunrise Highway
Suite 45",http://www.thedof.org,
Springboard CDFI,1,National City,CA,91950,"2140 Hoover Avenue, Suite 115",www.springboard.org,
Technical Assistance Corporation,1,St Louis,MO,63103--183,1627 Washington Ave,www.risecdfi.org,
"The Community Development Trust, Inc.",1,New York,NY,10018--770,1350 Broadway  Suite 700,www.cdt.biz,
Impact Capital,1,Seattle,WA,98104,701 Fifth Ave Suite 5500,www.impactcapital.org,
